model,run_id,tasks,context_mode,backend,image,container,api_base,started_at,exit_code,container_status,container_exists,output_dir_exists,has_report,has_openhands_state,has_openhands_events,max_iterations,max_agent_hours,elapsed_seconds,cache_prompt_enabled,prompt_cache_retention,report_task_count,expected_task_count,error,task0,task0_passed,task1,task1_passed,task2,task2_passed,task3,task3_passed,task4,task4_passed,task5,task5_passed,pipeline_score,mean_reward,pass_score,prior_non_full_score_count,zero_shot_pass,agent_llm_rounds_source,run_agent_llm_rounds,task0_agent_llm_rounds,task1_agent_llm_rounds,task2_agent_llm_rounds,task3_agent_llm_rounds,task4_agent_llm_rounds,task5_agent_llm_rounds,llm_metrics_source,llm_tokens_logged,run_llm_cost_usd,run_llm_prompt_tokens,run_llm_completion_tokens,run_llm_reasoning_tokens,run_llm_cache_read_tokens,run_llm_cache_write_tokens,run_llm_total_tokens,task0_llm_total_tokens,task0_llm_cost_usd,task1_llm_total_tokens,task1_llm_cost_usd,task2_llm_total_tokens,task2_llm_cost_usd,task3_llm_total_tokens,task3_llm_cost_usd,task4_llm_total_tokens,task4_llm_cost_usd,task5_llm_total_tokens,task5_llm_cost_usd,cache_hit,cache_hit_tokens,cache_write_tokens,successful_llm_calls,failed_llm_calls,remaining_iterations,remaining_wall_seconds,openhands_execution_status,last_error_code,last_error_kind,last_error_detail,interrupted_by_user,missing_outputs,termination_status,termination_reason,termination_detail
deepseek-v4-pro,engineer-openhand-500-deepseek-v4-pro-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-deepseek-v4-pro-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T09:12:03Z,0,exited,True,True,True,True,True,500,5,7461.57,1,24h,6,6,,100.0,True,100.0,True,100.0,True,83.56,True,38.63,False,100.0,True,87.03,85.34,77.78,2,False,jsonl,303,83,2,155,46,12,5,base_state,True,8.679286,70084127,255502,163538,66255488,0,136758655,,,,,,,,,,,,,True,66255488,0,303,0,197,10538.43,finished,,,,False,,success_model_finished,模型主动结束,
gpt-5.5,engineer-openhand-500-openhands-gpt-5.5-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-gpt-5.5-tasks-0-5,https://api.duckcoding.ai/v1,2026-05-18T13:09:36Z,0,exited,True,True,True,True,True,500,5,5440.69,1,24h,6,6,"ConversationRunError: Conversation run failed for id=317b69da-06aa-4d44-aecc-1e548703137e: litellm.Timeout: Timeout Error: OpenAIException - litellm.Timeout: Connection timed out after 300 seconds.

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/317b69da06aa4d44aecc1e548703137e

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,100.0,True,100.0,True,100.0,True,48.25,False,0.0,False,74.71,65.91,66.67,1,False,jsonl,87,3,13,40,14,17,,base_state,True,8.770572,11197626,60923,21701,10898944,0,22179194,,,,,,,,,,,,,True,10898944,0,87,2,413,12559.31,error,LLMTimeoutError,ConversationErrorEvent,litellm.Timeout: Timeout Error: OpenAIException - litellm.Timeout: Connection timed out after 300 seconds.,False,,error_llm_timeout,LLM 请求超时,litellm.Timeout: Timeout Error: OpenAIException - litellm.Timeout: Connection timed out after 300 seconds.
deepseek-v4-flash,engineer-openhand-500-deepseek-v4-flash-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-deepseek-v4-flash-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T09:12:04Z,0,exited,True,True,True,True,True,500,5,5681.91,1,24h,6,6,,100.0,True,100.0,True,31.62,False,36.99,False,38.96,False,100.0,True,67.93,66.48,44.44,3,False,jsonl,325,7,164,33,71,17,33,base_state,True,3.42919,87106452,227557,101234,70415616,0,157850859,,,,,,,,,,,,,True,70415616,0,325,0,175,12318.09,finished,,,,False,,success_model_finished,模型主动结束,
qwen3.6-max-preview,engineer-openhand-500-openhands-qwen3.6-max-preview-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-qwen3.6-max-preview-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-18T05:17:15Z,0,exited,True,True,True,True,True,500,5,3451.35,1,24h,6,6,"ConversationRunError: Conversation run failed for id=b5fafd20-7633-42de-95c5-88b11a454b0f: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 229376]. Received Model Group=qwen3.6-max-preview
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/b5fafd20763342de95c588b11a454b0f

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,100.0,True,100.0,True,65.75,True,34.95,False,0.0,False,66.78,56.72,66.67,2,False,jsonl,195,7,38,122,28,,,base_state,True,67.281748,23509455,65059,5207,1364128,0,24943849,,,,,,,,,,,,,True,1364128,0,195,3,305,14548.65,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 229376]. Received Model Group=qwen3.6-max-preview
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 229376]. Received Model Group=qwen3.6-max-preview
Available Model Group Fallbacks=None"
kimi-k2.5,engineer-openhand-500-kimi-k2.5-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-kimi-k2.5-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T09:12:05Z,0,exited,True,True,True,True,True,500,5,3713.51,1,24h,6,6,,100.0,True,100.0,True,22.18,False,24.66,False,39.7,False,9.38,False,49.32,40.24,33.33,3,False,jsonl,287,9,147,49,32,33,17,base_state,True,1.746514,28137275,42855,0,25825920,0,54006050,,,,,,,,,,,,,True,25825920,0,287,0,213,14286.49,finished,,,,False,,success_model_finished,模型主动结束,
glm-5,engineer-all-500-glm-5-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-all-500-glm-5-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T07:58:22Z,0,exited,True,True,True,True,True,500,5,3031.1,1,24h,6,6,,100.0,True,100.0,True,46.58,False,1.37,False,35.05,False,9.38,False,48.73,38.66,33.33,3,False,jsonl,215,6,114,68,9,6,12,base_state,True,0.894717,19687887,57473,17238,18445741,0,38208339,,,,,,,,,,,,,True,18445741,0,215,0,285,14968.9,finished,,,,False,,success_model_finished,模型主动结束,
kimi-k2.6,engineer-openhand-500-kimi-k2.6-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-kimi-k2.6-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T09:17:25Z,0,exited,True,True,True,True,True,500,5,3482.81,1,24h,6,6,"ConversationRunError: Conversation run failed for id=ba61c5d5-265c-4991-8a8b-62e34322db7d: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 260096]. Received Model Group=kimi-k2.6
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/ba61c5d5265c49918a8b62e34322db7d

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,95.92,True,31.35,False,1.37,False,37.47,False,0.0,False,44.35,33.94,33.33,4,False,jsonl,332,4,197,131,,,,base_state,True,3.984951,50848094,50529,0,48329600,0,99228223,,,,,,,,,,,,,True,48329600,0,332,4,168,14517.19,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 260096]. Received Model Group=kimi-k2.6
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 260096]. Received Model Group=kimi-k2.6
Available Model Group Fallbacks=None"
qwen3.6-flash,engineer-openhand-500-openhands-qwen3.6-flash-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-qwen3.6-flash-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T17:08:54Z,0,exited,True,True,True,True,True,500,5,1305.73,1,24h,6,6,"ConversationRunError: Conversation run failed for id=983b5437-f3fd-4f3e-8a9e-b3181fa900cd: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: The ""function.arguments"" parameter of the code model must be in JSON format.. Received Model Group=qwen3.6-flash
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/983b5437f3fd4f3e8a9eb3181fa900cd

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,100.0,True,20.55,False,1.37,False,36.83,False,0.0,False,43.12,32.74,33.33,3,False,jsonl,144,14,113,17,,,,base_state,True,7.346491,11733716,104057,58115,1947238,0,13843126,,,,,,,,,,,,,True,1947238,0,144,4,356,16694.27,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: The ""function.arguments"" parameter of the code model must be in JSON format.. Received Model Group=qwen3.6-flash
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: The ""function.arguments"" parameter of the code model must be in JSON format.. Received Model Group=qwen3.6-flash
Available Model Group Fallbacks=None"
glm-4.6,engineer-openhand-500-openhands-glm-4.6-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-glm-4.6-tasks-0-5,https://dashscope.aliyuncs.com/compatible-mode/v1,2026-05-18T13:09:34Z,0,exited,True,True,True,True,True,500,5,2045.58,1,24h,6,6,"ConversationRunError: Conversation run failed for id=98f1f059-2d7f-49df-9da3-c8176b4cbb9f: litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 169984]

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/98f1f0592d7f49df9da3c8176b4cbb9f

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,67.36,True,38.48,False,1.37,False,39.64,False,0.0,False,41.14,30.88,33.33,4,False,jsonl,189,11,63,48,52,15,,base_state,True,,16080704,26669,0,15375768,0,31483141,,,,,,,,,,,,,True,15375768,0,189,1,311,15954.42,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 169984]",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 169984]"
deepseek-chat,engineer-openhand-500-deepseek-chat-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-deepseek-chat-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T10:14:02Z,0,exited,True,True,True,True,True,500,5,2023.93,1,24h,6,6,"ConversationRunError: Conversation run failed for id=0c6e194e-5616-480c-a3ce-8240cccc9fdb: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 131072]. Received Model Group=deepseek-chat
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/0c6e194e5616480ca3ce8240cccc9fdb

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,72.93,True,30.89,False,0.0,False,35.7,False,0.0,False,39.92,29.74,33.33,4,False,jsonl,215,127,35,41,12,,,base_state,True,0.066782,14289712,42666,0,14126464,0,28458842,,,,,,,,,,,,,True,14126464,0,215,3,285,15976.07,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 131072]. Received Model Group=deepseek-chat
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 131072]. Received Model Group=deepseek-chat
Available Model Group Fallbacks=None"
